"","stationcode","objectid","originalid","sampledate","evaluator","hydromodcomments","fullyarmoredcomments","area","precipitation","valleyslope","valleywidth","giscomments","d50estimated","d50","d50comments","bankheightl1","bankheightl2","bankheightl3","bankheightr1","bankheightr2","bankheightr3","bankheightcomments","bankanglel1","bankanglel2","bankanglel3","bankangler1","bankangler2","bankangler3","bankanglecomments","streambedstate","streambedstatecomments","armoringpotential","armoringpotentialcomments","gradecontrol","gradecontrolcomments","lateralsusceptibilityl","lateralsusceptibilityr","lateralsusceptibilitycomments","sourcefile","q10","num_index","vertrating","vertsuscept","vwi","massriskthreshl1","massriskthreshl2","massriskthreshl3","massriskthreshr1","massriskthreshr2","massriskthreshr3","masssusceptl1","masssusceptl2","masssusceptl3","masssusceptr1","masssusceptr2","masssusceptr3","latratingl1","latratingl2","latratingl3","latratingr1","latratingr2","latratingr3","averagelatsuscept","leftratingoverall","rightratingoverall","lateralratingoverall","projectcode","submissionid","lastchangedate","fullyarmored","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"135","SMC00608",189,41,2019-07-22,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"Yes","SMC",2019-10-31 09:25:05,"false","{E39B5058-87BF-40A1-91C0-5BC440DD842F}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC00608",34.12344,-117.90223,405,"Los Angeles","San Gabriel"
"136","SMC00660",79,79,2015-07-14,"Karin Wisenbaker",NA," ",135,17,0,1026,NA,NA,1,NA,0,0,0,0,0,0," ",30,30,15,15,40,25,NA,"A",NA," "," "," "," ",4,4,NA,"SMCHydromod_VCWPD_2015",337,NA,9,"HIGH",11,7,7,43,43,3,12,"LOW","LOW","LOW","LOW","LOW","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{05395610-18FE-450A-9BED-5467C702BC10}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"137","SMC00660",157,9,2019-06-17,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",30,30,35,30,30,30,"","A","","NR","NR","NR","",4,4,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{31066991-7B28-41D2-9B21-94D3BA29B2EE}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"139","SMC00686",196,48,2019-08-07,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",1,1,0,1,1,1,"",10,10,10,20,40,30,"","A","","NR","NR","NR","",2,2,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{38E5EFC6-4941-40F2-9D84-DB14179B0653}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC00686",34.0322,-117.83819,405,"Los Angeles","San Gabriel"
"141","SMC00836",142,669,2017-06-21,"Karin Wisenbaker",NA,NA,75,15,0,7592,NA,NA,1,"SA",0,0,0,0,0,0,NA,10,66,19,38,72,20,NA,"A","NA",NA,"NA",NA,"NA",1,1,"NA","VCWPD Hydromod SMC 2017",185,0,9,"High",110,108,0,24,3,0,21,"LOW","LOW","LOW","LOW","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{9BE5D609-5A94-425C-9797-69D58F9AE224}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0836",34.19071,-119.00511,408,"Ventura","Calleguas"
"142","SMC00836",163,15,2019-07-25,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",48,18,27,30,46,27,"","A","","NR","NR","NR","",4,4,"",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{BA1055FE-E50A-409F-8289-65EF7538B22B}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"408BA0836",34.19071,-119.00511,408,"Ventura","Calleguas"
"143","SMC00836",81,81,2015-06-24,"Karin Wisenbaker",NA," ",75,15,0,7370,NA,NA,1,NA,0,0,0,0,0,0," ",85,40,35,55,90,70,NA,"A",NA," "," "," "," ",2,2,NA,"SMCHydromod_VCWPD_2015",185,NA,9,"HIGH",107,0,3,4,1,0,0,"HIGH","LOW","LOW","LOW","HIGH","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{D8FE6DCC-DD5E-45EA-BA14-B35357B0C165}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0836",34.19071,-119.00511,408,"Ventura","Calleguas"
"144","SMC01004",181,33,2019-07-15,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"Yes","SMC",2019-10-31 08:58:49,"false","{BE5DF984-9A52-4255-9C58-14A7A52CE577}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"SMC01004",34.15016,-118.16579,412,"Los Angeles","Los Angeles"
"146","SMC01248",197,49,2019-08-08,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",59,34,39,52,18,49,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{4E92B3B1-AA74-4F02-92CD-D234B4086FEB}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC01248",34.25895,-117.74499,405,"Los Angeles","San Gabriel"
"147","SMC01260",195,47,2019-08-05,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"Yes","SMC",2019-10-31 09:25:05,"false","{3CB28C61-6418-412E-989D-EDD123E7353C}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC01260",34.06502,-117.97473,405,"Los Angeles","San Gabriel"
"148","SMC01384",230,82,2019-07-08,"Damon Owen","","",-88,-88,-88,-88,"",-88,-88,"",1,1,2,2,10,2,"",35,25,35,35,90,25,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LACFCD_2019",NA,NA,"No","SMC",2020-01-30 15:36:24,"false","{1D362340-E4EF-4D4F-8B98-BF2DEFF31BE3}","checker",2020-01-30 15:36:24,"checker",2020-01-30 15:36:24,"WestonSolu","damon.owen@westonsolutions.com","LACFCD","2019","SMC",NA,"SMC01384",34.0646,-118.70091,404,"Los Angeles","Santa Monica Bay"
"150","SMC01384",84,84,2015-06-30,"DO/MM",NA," ",106,19,0,79,NA,NA,37,NA,2,2,2,1,1,1," ",30,40,40,30,20,30,NA,"B",NA,"3"," ","9"," ",5,5,NA,"LA SMC tblHydromod (2)",292,NA,5,"MEDIUM",0,7,3,3,7,21,7,"LOW","LOW","LOW","LOW","LOW","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","SMC_LACFCD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{0B6541D5-D3A5-4076-83DC-56F6426C6A0C}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC01384",34.0646,-118.70091,404,"Los Angeles","Santa Monica Bay"
"151","SMC01384",145,672,2017-06-07,"DO/NC",NA,NA,106,19,0,37,NA,NA,-88,NA,1,2,3,2,1,1,NA,25,35,45,35,25,35,NA,"B","NA","9","NA","9","NA",2,2,"NA","LACFCD_Weston_2017_SMCHydromodTemplate_08_20_2015-2_More",292,0,5,"MEDIUM",0,12,4,2,4,12,4,"LOW","LOW","HIGH","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{969BD6C4-C017-499E-880F-957359AFC063}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC01384",34.0646,-118.70091,404,"Los Angeles","Santa Monica Bay"
"153","SMC01640",146,673,2017-06-07,"DO/NC",NA,NA,9,18,0,409,NA,NA,-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",1,1,"NA","LACFCD_Weston_2017_SMCHydromodTemplate_08_20_2015-2_More",33,0,3,"LOW",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"true","SMC",2019-01-23 00:00:00,"true","{8B3974B7-E746-4BBB-A37E-B648EF04AEAC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC01640",34.15335,-118.69679,404,"Los Angeles","Santa Monica Bay"
"154","SMC01640",229,81,2019-07-08,"Damon Owen","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","A","",1,1,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"SMC_LACFCD_2019",NA,NA,"Yes","SMC",2020-01-30 15:36:24,"false","{F3676743-C7D2-43DF-AB8C-91A352FA1AF8}","checker",2020-01-30 15:36:24,"checker",2020-01-30 15:36:24,"WestonSolu","damon.owen@westonsolutions.com","LACFCD","2019","SMC",NA,"SMC01640",34.15335,-118.69679,404,"Los Angeles","Santa Monica Bay"
"156","SMC01640",85,85,2015-06-30,"DO/MM",NA," ",9,18,0,374,NA,NA,5660,NA,NA,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA," ",NA,NA,NA,"LA SMC tblHydromod (2)",33,NA,3,"LOW",11,NA,NA,NA,NA,NA,NA," "," "," "," "," "," ","Unk","Unk","Unk","Unk","Unk","Unk"," "," "," "," ","SMC_LACFCD_2015",NA,2016-05-05 12:24:34,"true","SMC",2019-01-23 00:00:00,"true","{B7EFDCA9-F4DE-4029-8E5D-1FC89844FC6F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC01640",34.15335,-118.69679,404,"Los Angeles","Santa Monica Bay"
"157","SMC01808",179,31,2019-07-09,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",2,2,1,5,2,1,"",60,30,70,50,45,40,"","B","","C","NR","C","",3,3,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{95872FCE-C53D-498E-BB4A-47BF0C4D183F}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"SMC01808",34.3094,-118.07316,412,"Los Angeles","Los Angeles"
"162","SMC03216",193,45,2019-07-24,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",2,1,2,3,3,2,"",70,45,25,70,60,70,"","B","","A","NR","C","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{FBA9F39B-25B1-4B61-8A40-DBC07986F964}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC03216",34.28092,-117.84093,405,"Los Angeles","San Gabriel"
"163","SMC03280",192,44,2019-07-24,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",2,3,2,3,2,3,"",40,60,60,30,45,55,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{EA94584D-9A3E-439E-8B46-8A0B401BAED6}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC03280",34.25685,-117.85652,405,"Los Angeles","San Gabriel"
"164","SMC03452",198,50,2019-08-15,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",3,4,40,3,3,4,"",70,85,90,50,70,80,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{EC5EB236-9F53-48BC-9704-D0ED9ED540EB}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC03452",34.30354,-117.8323,405,"Los Angeles","San Gabriel"
"166","SMC04204",186,38,2019-07-30,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",55,31,45,29,37,34,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{3A07A1B3-663F-4C50-8FEC-FBBD6D262839}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412S04204",34.20358,-118.01853,412,"Los Angeles","Los Angeles"
"173","SMC12862",191,43,2019-07-22,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"Yes","SMC",2019-10-31 09:25:05,"false","{96E0FB1E-9F7B-4EF0-BC19-B57BF639AA39}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC12862",33.92148,-118.11149,405,"Los Angeles","San Gabriel"
"175","SMC20032",190,42,2019-07-22,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"Yes","SMC",2019-10-31 09:25:05,"false","{43B2E920-6207-4566-850E-92EBBFFA91A3}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC20032",33.87664,-118.10774,405,"Los Angeles","San Gabriel"
